date,price
2002-08-28,930.56
2002-09-04,981.5
2002-09-11,975.5
2002-09-18,968.0
2002-09-25,967.0
2002-10-02,969.5
2002-10-09,971.5
2002-10-16,970.0
2002-10-23,975.0
2002-10-30,976.0
2002-11-06,996.25
2002-11-13,967.5
2002-11-20,967.0
2002-11-27,955.0
2002-12-04,960.0
2002-12-11,958.0
2002-12-18,969.5
2002-12-25,967.5
2003-01-01,965.0
2003-01-08,968.5
2003-01-15,965.5
2003-01-22,961.5
2003-01-29,962.0
2003-02-05,974.0
2003-02-12,960.5
2003-02-19,984.5
2003-02-26,999.0
2003-03-05,1009.0
2003-03-12,1063.5
2003-03-19,1061.0
2003-03-26,1070.0
2003-04-02,1096.5
2003-04-09,1111.5
2003-04-16,1096.4
2003-04-23,1105.4
2003-04-30,1120.0
2003-05-07,1118.0
2003-05-14,1111.5
2003-05-21,1116.5
2003-05-28,1123.0
2003-06-04,1120.0
2003-06-11,1118.0
2003-06-18,1118.5
2003-06-25,1128.5
2003-07-02,1120.0
2003-07-09,1116.11
2003-07-16,1101.5
2003-07-23,1101.5
2003-07-30,1089.0
2003-08-06,1081.0
2003-08-13,1071.5
2003-08-20,1068.0
2003-08-27,972.0
2003-09-03,969.5
2003-09-10,963.5
2003-09-17,999.0
2003-09-24,1004.5
2003-10-01,1013.5
2003-10-08,994.5
2003-10-15,1000.0
2003-10-22,969.5
2003-10-29,969.5
2003-11-05,980.0
2003-11-12,986.5
2003-11-19,978.5
2003-11-26,978.0
2003-12-03,977.5
2003-12-10,992.5
2003-12-17,986.0
2003-12-24,987.0
2003-12-31,988.0
2004-01-07,990.0
2004-01-14,986.0
2004-01-21,993.3
2004-01-28,984.0
2004-02-04,987.0
2004-02-11,987.0
2004-02-18,988.7
2004-02-25,995.2
2004-03-03,1004.7
2004-03-10,1005.7
2004-03-17,1001.5
2004-03-24,1009.0
2004-03-31,1020.5
2004-04-07,1020.5
2004-04-14,1021.0
2004-04-21,1023.0
2004-04-28,1025.5
2004-05-05,1027.5
2004-05-12,1028.5
2004-05-19,1031.5
2004-05-26,1037.5
2004-06-02,1048.5
2004-06-09,1051.0
2004-06-16,1061.0
2004-06-23,1060.5
2004-06-30,1061.0
2004-07-07,1060.0
2004-07-14,1054.5
2004-07-21,1060.0
2004-07-28,1057.0
2004-08-04,1059.5
2004-08-11,1067.5
2004-08-18,1067.5
2004-08-25,1105.0
2004-09-01,1106.0
2004-09-08,1104.5
2004-09-15,1099.5
2004-09-22,1100.5
2004-09-29,1099.0
2004-10-06,1087.0
2004-10-13,1082.0
2004-10-20,1083.0
2004-10-27,1083.0
2004-11-03,1078.0
2004-11-10,1078.5
2004-11-17,1079.0
2004-11-24,1077.0
2004-12-01,1066.5
2004-12-08,1065.5
2004-12-15,1070.5
2004-12-22,1070.5
2004-12-29,1072.5
2005-01-05,1071.5
2005-01-12,1078.0
